Time,TEMP,HUM,LIGHT,SOIL,SOIL_STATUS,RAIN_STATUS,RAIN_VALUE,Crop_Height_ft,Crop_to_Crop_Distance_ft,pH,pH_Type,longitude,latitude
2026-03-26 15:01:05.120583,34.8,16.0,87,686,MOIST,NO_RAIN,87,1.22,0.93,5.76,Acidic,87.891813,23.2279973
2026-03-26 15:00:12.142030,34.0,20.0,88,687,MOIST,NO_RAIN,91,1.27,0.86,5.67,Acidic,87.8918332,23.2280625
2026-03-26 14:44:11.405205,34.8,17.0,86,683,MOIST,NO_RAIN,64,1.21,0.86,4.95,Acidic,87.8921185,23.2280376
2026-03-26 14:45:17.841102,34.5,17.0,76,601,MOIST,NO_RAIN,64,1.29,0.91,5.47,Acidic,87.8920789,23.2280888
2026-03-26 14:35:16.396212,35.4,19.0,82,685,MOIST,NO_RAIN,64,1.23,0.82,4.74,Acidic,87.8920787,23.2276287
2026-03-26 14:43:21.721756,35.3,17.0,85,664,MOIST,NO_RAIN,63,1.33,0.98,4.96,Acidic,87.8921055,23.2279809
2026-03-26 15:02:55.743204,35.0,20.5,84,697,MOIST,NO_RAIN,58,1.45,0.9,4.8,Acidic,87.891777,23.22786
2026-03-26 14:41:19.206998,35.6,16.0,84,667,MOIST,NO_RAIN,73,1.26,0.92,5.31,Acidic,87.892082,23.2278309
2026-03-26 14:42:51.919412,35.6,18.0,79,626,MOIST,NO_RAIN,71,1.22,0.93,5.69,Acidic,87.8920978,23.2279425
2026-03-26 14:32:50.541897,34.4,23.0,83,682,MOIST,NO_RAIN,61,1.27,0.87,5.2,Acidic,87.8918739,23.2276315
2026-03-26 14:43:11.795295,35.3,19.0,81,666,MOIST,NO_RAIN,67,1.28,0.87,4.95,Acidic,87.8921028,23.2279641
2026-03-26 14:32:20.740993,34.2,20.0,78,649,MOIST,NO_RAIN,59,1.43,0.92,5.61,Acidic,87.8918264,23.2276336
2026-03-26 15:00:51.890473,34.4,20.0,88,681,MOIST,NO_RAIN,77,1.27,0.82,5.31,Acidic,87.8918183,23.2280135
2026-03-26 14:59:39.004165,33.6,19.0,88,689,MOIST,NO_RAIN,75,1.49,0.93,5.7,Acidic,87.8918697,23.2280751
2026-03-26 14:32:33.968268,34.0,21.0,78,680,MOIST,NO_RAIN,64,1.31,0.82,5.34,Acidic,87.8918522,23.2276351
2026-03-26 14:44:57.787319,34.7,17.0,80,620,MOIST,NO_RAIN,62,1.5,0.94,5.24,Acidic,87.8921085,23.2280898
2026-03-26 15:04:34.502533,35.6,21.3,83,680,MOIST,NO_RAIN,77,1.36,0.81,5.71,Acidic,87.8917484,23.2277252
2026-03-26 14:36:29.239674,36.0,15.0,80,664,MOIST,NO_RAIN,71,1.32,0.81,5.07,Acidic,87.8920735,23.2276927
2026-03-26 14:45:11.209167,0.0,0.0,76,582,MOIST,NO_RAIN,64,1.47,0.8,4.87,Acidic,87.8920915,23.2280894
2026-03-26 14:46:04.195942,34.3,17.0,80,620,MOIST,NO_RAIN,69,1.46,0.89,5.25,Acidic,87.8920189,23.2280799
2026-03-26 14:44:44.540850,34.5,17.0,83,654,MOIST,NO_RAIN,67,1.48,0.99,5.36,Acidic,87.8921207,23.2280794
2026-03-26 14:44:54.458762,34.4,17.0,82,607,MOIST,NO_RAIN,62,1.33,0.86,5.74,Acidic,87.8921146,23.2280874
2026-03-26 14:59:42.334097,33.5,5.0,88,689,MOIST,NO_RAIN,77,1.38,0.84,4.84,Acidic,87.8918623,23.2280755
2026-03-26 15:05:31.467442,35.6,15.0,80,676,MOIST,NO_RAIN,68,1.48,0.86,5.03,Acidic,87.8917401,23.2276511
2026-03-26 14:37:05.830288,36.1,15.0,78,638,MOIST,NO_RAIN,62,1.33,0.94,5.51,Acidic,87.8920763,23.2277449
2026-03-26 14:35:49.518194,35.4,16.0,80,678,MOIST,NO_RAIN,61,1.33,0.8,5.65,Acidic,87.8920777,23.2276677
2026-03-26 14:59:35.712251,33.5,17.0,86,692,MOIST,NO_RAIN,78,1.33,0.98,4.86,Acidic,87.8918732,23.2280746
2026-03-26 14:37:19.049106,36.0,15.0,81,643,MOIST,NO_RAIN,61,1.31,0.92,5.69,Acidic,87.8920777,23.2277615
2026-03-26 14:43:05.165540,35.5,17.0,79,617,MOIST,NO_RAIN,72,1.37,0.89,5.77,Acidic,87.8921012,23.2279573
2026-03-26 15:01:37.482739,34.2,21.5,79,694,WET,NO_RAIN,57,1.23,0.9,5.08,Acidic,87.891804,23.2279471
2026-03-26 14:40:32.851244,35.6,17.0,90,733,WET,NO_RAIN,73,1.23,0.81,5.37,Acidic,87.8920778,23.2277617
2026-03-26 15:04:49.298585,35.6,17.7,76,692,MOIST,NO_RAIN,60,1.41,0.87,5.21,Acidic,87.8917467,23.2277027
2026-03-26 14:35:46.205679,35.5,16.0,77,640,MOIST,NO_RAIN,64,1.21,0.81,4.74,Acidic,87.8920798,23.2276635
2026-03-26 14:33:17.019438,35.1,21.0,83,695,MOIST,NO_RAIN,65,1.47,0.99,5.29,Acidic,87.891921,23.2276283
2026-03-26 14:34:03.391157,35.4,19.0,83,696,MOIST,NO_RAIN,64,1.34,0.93,4.73,Acidic,87.8919901,23.2276267
2026-03-26 14:43:08.481213,35.5,18.0,84,662,MOIST,NO_RAIN,66,1.34,0.93,4.92,Acidic,87.8921023,23.2279633
2026-03-26 14:41:55.626594,35.4,17.0,76,625,MOIST,NO_RAIN,74,1.23,0.86,5.67,Acidic,87.8920858,23.2278719
2026-03-26 14:35:42.898519,35.7,17.0,81,682,MOIST,NO_RAIN,62,1.29,0.93,5.65,Acidic,87.8920803,23.2276597
2026-03-26 15:02:16.998593,34.7,22.9,82,689,MOIST,NO_RAIN,63,1.25,0.81,4.78,Acidic,87.8917914,23.2279009
2026-03-26 15:01:31.259239,34.1,21.5,74,686,MOIST,NO_RAIN,59,1.29,0.81,4.86,Acidic,87.8918041,23.227957
2026-03-26 14:42:05.563961,35.5,17.0,78,627,MOIST,NO_RAIN,73,1.35,0.93,5.33,Acidic,87.8920876,23.2278833
2026-03-26 14:43:15.090632,35.4,18.0,81,659,MOIST,NO_RAIN,70,1.3,0.9,5.66,Acidic,87.8921042,23.2279738
2026-03-26 14:45:54.258331,34.5,17.0,81,645,MOIST,NO_RAIN,63,1.25,0.82,5.24,Acidic,87.8920323,23.2280829
2026-03-26 14:36:45.939081,36.1,15.0,79,671,MOIST,NO_RAIN,64,1.42,0.93,5.07,Acidic,87.8920739,23.2277179
2026-03-26 15:03:04.746302,34.9,18.6,86,697,MOIST,NO_RAIN,66,1.44,0.88,4.89,Acidic,87.8917734,23.2278483
2026-03-26 14:58:59.272523,33.8,12.0,86,678,MOIST,NO_RAIN,83,1.29,0.95,4.9,Acidic,87.8919142,23.2280732
2026-03-26 15:03:07.956253,34.9,18.6,84,705,MOIST,NO_RAIN,68,1.43,0.98,5.41,Acidic,87.8917728,23.2278477
2026-03-26 15:03:46.789157,35.4,17.4,77,646,MOIST,NO_RAIN,65,1.33,0.87,5.64,Acidic,87.8917575,23.2277918
2026-03-26 15:01:34.061827,34.1,21.5,74,652,MOIST,NO_RAIN,59,1.25,0.96,5.72,Acidic,87.8918037,23.2279517
2026-03-26 14:44:27.962639,34.5,17.0,82,678,MOIST,NO_RAIN,64,1.3,0.87,5.51,Acidic,87.8921212,23.2280589
2026-03-26 15:00:25.384359,34.4,18.0,86,671,MOIST,NO_RAIN,84,1.38,0.92,4.99,Acidic,87.891827,23.2280441
2026-03-26 14:44:51.159251,34.6,17.0,78,606,MOIST,NO_RAIN,70,1.21,0.95,5.38,Acidic,87.8921153,23.2280876
2026-03-26 15:04:01.263421,35.6,20.1,83,692,MOIST,NO_RAIN,69,1.31,0.88,5.8,Acidic,87.8917529,23.2277705
2026-03-26 14:42:18.812977,35.7,16.0,81,631,MOIST,NO_RAIN,70,1.38,0.92,5.34,Acidic,87.892091,23.2278995
2026-03-26 14:34:06.862165,0.0,0.0,83,696,MOIST,NO_RAIN,64,1.27,0.82,5.28,Acidic,87.891993,23.2276265
2026-03-26 14:32:37.285245,33.9,21.0,77,669,MOIST,NO_RAIN,60,1.48,0.93,4.84,Acidic,87.8918566,23.2276356
2026-03-26 15:00:28.699610,34.2,17.0,88,672,MOIST,NO_RAIN,72,1.32,0.9,4.9,Acidic,87.891825,23.2280383
2026-03-26 15:02:22.716064,34.7,21.5,80,652,MOIST,NO_RAIN,73,1.27,0.94,5.59,Acidic,87.8917887,23.2278965
2026-03-26 14:41:22.521819,35.6,15.0,83,646,MOIST,NO_RAIN,64,1.29,0.94,5.4,Acidic,87.8920826,23.2278315
2026-03-26 14:59:15.852533,33.3,16.0,86,691,MOIST,NO_RAIN,75,1.48,0.97,5.13,Acidic,87.8918914,23.2280719
2026-03-26 15:02:13.934171,34.4,23.0,80,698,MOIST,NO_RAIN,62,1.21,0.87,5.1,Acidic,87.8917932,23.2279047
2026-03-26 14:41:39.057965,35.5,15.0,87,694,MOIST,NO_RAIN,69,1.42,0.88,5.45,Acidic,87.8920834,23.2278557
2026-03-26 15:04:25.536233,35.7,20.5,77,680,MOIST,NO_RAIN,67,1.45,0.9,5.34,Acidic,87.8917487,23.2277368
2026-03-26 15:05:07.634161,35.4,16.8,79,634,MOIST,NO_RAIN,65,1.23,0.98,4.75,Acidic,87.891742,23.2276827
2026-03-26 15:00:48.566621,34.7,20.0,88,683,MOIST,NO_RAIN,79,1.27,0.97,5.3,Acidic,87.8918191,23.2280163
2026-03-26 15:04:07.847366,35.6,18.3,85,675,MOIST,NO_RAIN,67,1.29,0.91,5.44,Acidic,87.891752,23.2277628
2026-03-26 14:44:14.723005,35.0,18.0,86,673,MOIST,NO_RAIN,63,1.37,0.95,5.53,Acidic,87.8921186,23.2280384
