Time,TEMP,HUM,LIGHT,SOIL,SOIL_STATUS,RAIN_STATUS,RAIN_VALUE,Crop_Height_ft,Crop_to_Crop_Distance_ft,pH,pH_Type,longitude,latitude
2026-03-26 14:32:03.168195,34.1,20,79,694,MOIST,NO_RAIN,63,1.43,0.91,5.59,Acidic,87.8917231,23.2276281
2026-03-26 14:32:04.168954,34,20,78,659,MOIST,NO_RAIN,62,1.33,0.89,5.58,Acidic,87.8917286,23.2276274
2026-03-26 14:32:07.480012,34,20,82,700,WET,NO_RAIN,59,1.46,0.9,5.2,Acidic,87.8917541,23.2276487
2026-03-26 14:32:10.810966,34.1,20,81,688,MOIST,NO_RAIN,65,1.41,0.95,5.24,Acidic,87.8917834,23.2276359
2026-03-26 14:32:14.109390,33.9,20,81,686,MOIST,NO_RAIN,72,1.23,0.96,5.8,Acidic,87.891795,23.2276334
2026-03-26 14:32:17.415314,34,20,82,685,MOIST,NO_RAIN,61,1.49,0.9,5.46,Acidic,87.8918108,23.2276357
2026-03-26 14:32:20.740993,34.2,20,78,649,MOIST,NO_RAIN,59,1.43,0.92,5.61,Acidic,87.8918264,23.2276336
2026-03-26 14:32:24.031557,33.8,20,79,687,MOIST,NO_RAIN,56,1.44,0.99,5.7,Acidic,87.891842,23.2276348
2026-03-26 14:32:27.348923,33.7,20,81,689,MOIST,NO_RAIN,59,1.24,0.82,5.58,Acidic,87.8918461,23.2276349
2026-03-26 14:32:30.660857,33.9,20,79,672,MOIST,NO_RAIN,63,1.34,0.82,4.93,Acidic,87.8918514,23.227635
2026-03-26 14:32:33.968268,34,21,78,680,MOIST,NO_RAIN,64,1.31,0.82,5.34,Acidic,87.8918522,23.2276351
2026-03-26 14:32:37.285245,33.9,21,77,669,MOIST,NO_RAIN,60,1.48,0.93,4.84,Acidic,87.8918566,23.2276356
2026-03-26 14:32:40.600369,33.9,21,78,616,MOIST,NO_RAIN,66,1.39,0.88,5.44,Acidic,87.8918625,23.227634
2026-03-26 14:32:43.913248,33.9,22,82,683,MOIST,NO_RAIN,60,1.45,0.95,5.76,Acidic,87.8918654,23.2276327
2026-03-26 14:32:47.212736,34,23,82,692,MOIST,NO_RAIN,61,1.33,0.93,5.28,Acidic,87.8918715,23.2276312
2026-03-26 14:32:50.541897,34.4,23,83,682,MOIST,NO_RAIN,61,1.27,0.87,5.2,Acidic,87.8918739,23.2276315
2026-03-26 14:32:53.873903,34.1,22,81,691,MOIST,NO_RAIN,61,1.37,0.98,4.77,Acidic,87.8918767,23.2276301
2026-03-26 14:32:57.159164,34.4,22,79,660,MOIST,NO_RAIN,69,1.22,0.95,5.77,Acidic,87.8918834,23.2276274
2026-03-26 14:33:00.478558,34.4,22,83,673,MOIST,NO_RAIN,61,1.45,0.85,4.84,Acidic,87.8918899,23.2276266
2026-03-26 14:33:03.791744,34.3,22,83,695,MOIST,NO_RAIN,66,1.39,0.87,4.77,Acidic,87.8918987,23.227626
2026-03-26 14:33:07.079627,34.4,23,83,692,MOIST,NO_RAIN,67,1.43,0.86,5,Acidic,87.8919033,23.2276266
2026-03-26 14:33:10.404995,34.5,24,80,676,MOIST,NO_RAIN,68,1.31,0.83,4.8,Acidic,87.8919091,23.2276267
2026-03-26 14:33:13.718449,34.8,24,80,661,MOIST,NO_RAIN,67,1.49,0.83,5.22,Acidic,87.8919177,23.2276278
2026-03-26 14:33:17.019438,35.1,21,83,695,MOIST,NO_RAIN,65,1.47,0.99,5.29,Acidic,87.891921,23.2276283
2026-03-26 14:33:20.334561,34.9,24,82,666,MOIST,NO_RAIN,65,1.43,0.89,5.07,Acidic,87.8919324,23.2276289
2026-03-26 14:33:23.650207,35,21,83,694,MOIST,NO_RAIN,63,1.26,0.88,4.79,Acidic,87.8919357,23.2276288
2026-03-26 14:33:26.957975,35.2,21,80,656,MOIST,NO_RAIN,60,1.34,0.95,4.85,Acidic,87.8919424,23.2276282
2026-03-26 14:33:30.275627,35.2,22,79,696,MOIST,NO_RAIN,66,1.21,0.91,5.15,Acidic,87.8919457,23.2276284
2026-03-26 14:33:33.591834,35.2,22,83,694,MOIST,NO_RAIN,61,1.25,0.99,4.8,Acidic,87.8919497,23.2276283
2026-03-26 14:33:36.906243,35.5,22,79,656,MOIST,NO_RAIN,63,1.4,0.96,5.48,Acidic,87.891958,23.227628
2026-03-26 14:33:40.217877,35.3,21,82,696,MOIST,NO_RAIN,68,1.42,0.9,4.95,Acidic,87.8919594,23.2276279
2026-03-26 14:33:43.531923,35.3,20,82,691,MOIST,NO_RAIN,66,1.49,0.88,5.06,Acidic,87.8919688,23.2276265
2026-03-26 14:33:46.846030,35.3,20,79,698,MOIST,NO_RAIN,67,1.3,1,5.16,Acidic,87.8919701,23.2276264
2026-03-26 14:33:50.145254,35.6,20,82,686,MOIST,NO_RAIN,73,1.31,0.94,5.18,Acidic,87.8919752,23.2276267
2026-03-26 14:33:53.462822,35.3,20,82,694,MOIST,NO_RAIN,63,1.34,0.99,4.73,Acidic,87.8919778,23.2276266
2026-03-26 14:33:56.781770,35.2,20,78,655,MOIST,NO_RAIN,62,1.26,0.82,4.85,Acidic,87.8919824,23.2276267
2026-03-26 14:34:00.073460,35.2,20,81,663,MOIST,NO_RAIN,66,1.24,0.97,5.66,Acidic,87.891983,23.2276268
2026-03-26 14:34:03.391157,35.4,19,83,696,MOIST,NO_RAIN,64,1.34,0.93,4.73,Acidic,87.8919901,23.2276267
2026-03-26 14:34:06.862165,0,0,83,696,MOIST,NO_RAIN,64,1.27,0.82,5.28,Acidic,87.891993,23.2276265
